"protein","totalFat","calories","starch","sucrose","glucose","lactose","alcohol","adj_protein","caffeine","theobromine","sugars","fiber","calcium","iron","magnesium","sodium","vitA","vitD","vitC","monoFat","polyFat","transFat","satFat","cholesterol","carbohydrate","id","desc","foodGroup","fgId","choFact","nfactor","proFact","fatFact","energy"
"0.85g","81.11g","717kcal","0","0","0","0","0g","0","0mg","0mg","0.06g","0g","24mg","0.02mg","2mg","643mg","2499IU","60IU","0mg","21.021g","3.043g","3.278g","51.368g","215mg","0.06g","01001","Butter, salted","Dairy and Egg Products","0100","3.87","6.38","4.27","8.79","3000kJ"
"24.04g","33.82g","406kcal","0","0g","0g","0.18g","0g","0","0mg","0mg","0.28g","0g","675mg","0.16mg","27mg","644mg","994IU","24IU","0mg","8.428g","1.433g","1.179g","19.368g","102mg","1.33g","01009","Cheese, cheddar","Dairy and Egg Products","0100","NULL","NULL","NULL","NULL","1698kJ"
"11.12g","4.3g","98kcal","0","0g","0g","2.67g","0g","0","0mg","0mg","2.67g","0g","83mg","0.07mg","8mg","364mg","140IU","3IU","0mg","0.778g","0.123g","0","1.718g","17mg","3.38g","01012","Cheese, cottage, creamed, large or small curd","Dairy and Egg Products","0100","3.87","6.38","4.27","8.79","412kJ"
"10.34g","0.29g","72kcal","0","0g","0.29g","1.56g","0g","0","0mg","0mg","1.85g","0g","86mg","0.15mg","11mg","372mg","8IU","0IU","0mg","0.079g","0.003g","0","0.169g","7mg","6.66g","01014","Cheese, cottage, nonfat, uncreamed, dry, large or small curd","Dairy and Egg Products","0100","3.87","6.38","4.27","8.79","303kJ"
"14.21g","21.28g","264kcal","0","0","0","0","0g","0","0mg","0mg","4.09g","0g","493mg","0.65mg","19mg","917mg","422IU","16IU","0mg","4.623g","0.591g","0","14.946g","89mg","4.09g","01019","Cheese, feta","Dairy and Egg Products","0100","3.87","6.38","4.27","8.79","1103kJ"
"28.42g","27.84g","420kcal","0","0g","0g","0g","0g","0","0mg","0mg","0.07g","0g","853mg","0.49mg","34mg","1804mg","974IU","21IU","0mg","7.13g","1.386g","0.876g","15.371g","86mg","13.91g","01032","Cheese, parmesan, grated","Dairy and Egg Products","0100","3.87","6.38","4.27","8.79","1757kJ"
"11.26g","12.98g","174kcal","0","0","0","0","0g","0","0mg","0mg","0.27g","0g","207mg","0.38mg","11mg","84mg","445IU","10IU","0mg","3.627g","0.385g","0","8.295g","51mg","3.04g","01036","Cheese, ricotta, whole milk","Dairy and Egg Products","0100","3.87","6.38","4.27","8.79","728kJ"
"11.39g","7.91g","138kcal","0","0","0","0","0g","0","0mg","0mg","0.31g","0g","272mg","0.44mg","15mg","99mg","384IU","6IU","0mg","2.314g","0.26g","0","4.927g","31mg","5.14g","01037","Cheese, ricotta, part skim milk","Dairy and Egg Products","0100","3.87","6.38","4.27","8.79","578kJ"
"26.93g","27.8g","380kcal","0","0.14g","0.48g","0.06g","0g","0","0mg","0mg","1.32g","0g","791mg","0.2mg","38mg","70mg","830IU","20IU","0mg","7.274g","0.972g","0","17.779g","92mg","5.38g","01040","Cheese, swiss","Dairy and Egg Products","0100","3.87","6.38","4.27","8.79","1591kJ"
"2.05g","37g","345kcal","0","0","0","0","0g","0","0mg","0mg","2.79g","0g","65mg","0.03mg","7mg","38mg","1470IU","27IU","0.6mg","10.686g","1.374g","0","23.032g","137mg","2.79g","01053","Cream, fluid, heavy whipping","Dairy and Egg Products","0100","3.87","6.38","4.27","8.79","1443kJ"
"2.07g","19.73g","193kcal","0g","0g","0g","2.88g","0g","0","0mg","0mg","2.88g","0g","110mg","0.17mg","10mg","47mg","576IU","14IU","0.9mg","5.068g","0.84g","0","11.507g","52mg","2.88g","01056","Cream, sour, cultured","Dairy and Egg Products","0100","3.87","6.38","4.27","8.79","809kJ"
"3.15g","3.25g","61kcal","0","0g","0g","5.05g","0g","0","0mg","0mg","5.05g","0g","113mg","0.03mg","10mg","43mg","162IU","51IU","0mg","0.812g","0.195g","0","1.865g","10mg","4.8g","01077","Milk, whole, 3.25% milkfat, with added vitamin D","Dairy and Egg Products","0100","3.87","6.38","4.27","8.79","254kJ"
"3.48g","1.92g","51kcal","0","0","0","0","0g","0","0","0","0","0g","128mg","0.05mg","14mg","52mg","204IU","40IU","1mg","0.555g","0.071g","0","1.195g","8mg","4.97g","01080","Milk, reduced fat, fluid, 2% milkfat, with added nonfat milk solids and vitamin A and vitamin D","Dairy and Egg Products","0100","3.87","6.38","4.27","8.79","213kJ"
"0.76g","0.09g","24kcal","0","0","0","0","0g","0","0mg","0mg","5.12g","0g","103mg","0.08mg","10mg","48mg","7IU","0","0.1mg","0.025g","0.004g","0","0.057g","1mg","5.12g","01112","Whey, acid, fluid","Dairy and Egg Products","0100","3.87","6.38","4.27","8.79","100kJ"
"3.47g","3.25g","61kcal","0","0","0","0","0g","0","0mg","0mg","4.66g","0g","121mg","0.05mg","12mg","46mg","99IU","2IU","0.5mg","0.893g","0.092g","0","2.096g","13mg","4.66g","01116","Yogurt, plain, whole milk, 8 grams protein per 8 ounce","Dairy and Egg Products","0100","3.87","6.38","4.27","8.79","257kJ"
"12.56g","9.51g","143kcal","0","0g","0.37g","0g","0g","0","0mg","0mg","0.37g","0g","56mg","1.75mg","12mg","142mg","540IU","82IU","0mg","3.658g","1.911g","0.038g","3.126g","372mg","0.72g","01123","Egg, whole, raw, fresh","Dairy and Egg Products","0100","3.68","6.25","4.36","9.02","599kJ"
"10.9g","0.17g","52kcal","0","0.07g","0.34g","0.07g","0g","0","0mg","0mg","0.71g","0g","7mg","0.08mg","11mg","166mg","0IU","0IU","0mg","0g","0g","0","0g","0mg","0.73g","01124","Egg, white, raw, fresh","Dairy and Egg Products","0100","3.68","6.25","4.36","9.02","216kJ"
"15.86g","26.54g","322kcal","0","0.07g","0.18g","0.07g","0g","0","0mg","0mg","0.56g","0g","129mg","2.73mg","5mg","48mg","1442IU","218IU","0mg","11.738g","4.204g","0","9.551g","1085mg","3.59g","01125","Egg, yolk, raw, fresh","Dairy and Egg Products","0100","3.68","6.25","4.36","9.02","1346kJ"
"30.52g","35.59g","452kcal","0","0","0","0","0g","0","0mg","0mg","2.17g","0g","895mg","1.88mg","54mg","423mg","1745IU","26IU","0mg","8.117g","0.845g","0","24.609g","105mg","2.17g","01156","Cheese, goat, hard type","Dairy and Egg Products","0100","3.87","6.38","4.27","8.79","1891kJ"
"21.58g","29.84g","364kcal","0","0","0","0","0g","0","0mg","0mg","0.12g","0g","298mg","1.62mg","29mg","415mg","1464IU","22IU","0mg","6.808g","0.709g","0","20.639g","79mg","0.12g","01157","Cheese, goat, semisoft type","Dairy and Egg Products","0100","3.87","6.38","4.27","8.79","1523kJ"
"18.52g","21.08g","264kcal","0","0","0","0","0g","0","0mg","0mg","0g","0g","140mg","1.9mg","16mg","459mg","1033IU","15IU","0mg","4.807g","0.501g","0","14.575g","46mg","0g","01159","Cheese, goat, soft type","Dairy and Egg Products","0100","3.87","6.38","4.27","8.79","1106kJ"
"7g","14.1g","181kcal","0","0","0","0","0g","0","0mg","0mg","0.3g","0g","141mg","0.06mg","11mg","70mg","436IU","10IU","0.9mg","4.1g","0.5g","0","8.7g","35mg","7g","01178","Sour cream, reduced fat","Dairy and Egg Products","0100","NULL","NULL","NULL","NULL","757kJ"
